ID,MedalEarned
100464,0
43750,0
108567,0
87868,0
11036,0
86665,0
5004,0
84946,0
36390,0
48156,0
113488,0
16167,0
68513,0
29712,0
123155,0
130778,0
56332,0
67744,0
65547,0
116782,0
48145,0
69462,0
113422,0
104312,0
79723,0
76742,0
33612,0
104984,0
117589,0
256,0
81738,0
54241,0
57195,0
62974,0
46771,0
82836,0
110531,0
58154,0
42230,0
19482,0
119734,0
71688,0
57520,0
42602,0
67312,0
60466,0
23084,0
120201,0
70251,0
1311,0
34250,0
34489,0
123520,0
62130,0
84934,0
107602,0
31793,0
133124,0
99878,0
50086,0
58958,0
85779,0
49222,0
48733,0
15950,0
36015,0
63282,0
116983,0
6190,0
5583,0
108076,0
32270,0
7650,0
130734,0
120821,0
65128,0
83503,0
108656,0
112233,0
22868,0
125328,0
101671,0
95214,0
98650,0
34763,0
113255,0
26375,0
54972,0
74791,0
53909,0
8982,0
128352,0
119359,0
132276,0
65966,0
98928,0
1811,0
84881,0
83501,0
25635,0
8533,0
62019,0
31344,0
89380,0
41238,0
73572,0
111,0
55950,0
120669,0
14091,0
29336,0
128785,0
119949,0
31404,0
4032,0
83453,0
117298,0
4869,0
62104,0
29069,0
98036,0
42127,0
89566,0
123086,0
38187,0
77657,0
115228,0
58177,0
92466,0
114444,0
119799,0
2726,0
22262,0
133214,0
68012,0
48076,0
96032,0
11865,0
115596,0
111802,0
34288,0
17698,0
34833,0
56250,0
13588,0
56750,0
28867,0
31552,0
67932,0
87455,0
51954,0
42469,0
32496,0
133208,0
52329,0
49610,0
47389,0
37771,0
48518,0
39437,0
6754,0
110092,0
108084,0
1959,0
132337,0
129138,0
17257,0
46810,0
36994,0
9596,0
116043,0
106329,0
48592,0
109513,0
71134,0
58644,0
42534,0
34302,0
110216,0
71230,0
39041,0
18695,0
103640,0
96336,0
133525,0
17697,0
73654,0
93566,0
75907,0
1864,0
54180,0
87266,0
91406,0
40521,0
49331,0
55294,0
804,0
114941,0
131828,0
101187,0
103250,0
13162,0
21485,0
28035,0
89085,0
115051,0
114718,0
109644,0
96619,0
22919,0
13182,0
79979,0
73992,0
25919,0
45613,0
79131,0
20526,0
31476,0
41546,0
23975,0
22280,0
107842,0
21480,0
32362,0
88825,0
122973,0
114071,0
53324,0
98036,0
8181,0
65080,0
33510,0
12450,0
129704,0
77761,0
22218,0
1995,0
82253,0
26659,0
105842,0
46455,0
94714,0
73746,0
43442,0
97478,0
97522,0
32523,0
130618,0
49898,0
121070,0
51679,0
76144,0
28091,0
70056,0
125898,0
887,0
13509,0
288,0
71680,0
104514,0
2957,0
60720,0
116132,0
379,0
63239,0
1959,0
111382,0
90822,0
120178,0
93755,0
13482,0
52490,0
9454,0
79867,0
44992,0
52589,0
126353,0
62795,0
76673,0
804,0
84911,0
79723,0
83835,0
7349,0
111056,0
76165,0
26514,0
33911,0
42469,0
2974,0
114652,0
121696,0
44991,0
101747,0
116724,0
87794,0
103864,0
48701,0
49264,0
33507,0
31940,0
54273,0
46097,0
122820,0
24708,0
83303,0
109204,0
23902,0
93374,0
9056,0
125909,0
28359,0
125834,0
42296,0
115381,0
1870,0
1513,0
119825,0
23642,0
119579,0
46123,0
62799,0
89667,0
78317,0
118539,0
51786,0
68852,0
88168,0
100996,0
3075,0
93573,0
115294,0
16028,0
17768,0
3548,0
1864,0
49610,0
38730,0
124044,0
132940,0
50346,0
6309,0
71179,0
15671,0
66227,0
1697,0
29256,0
96224,0
5717,0
119648,0
22247,0
6169,0
52151,0
76073,0
64777,0
81278,0
55950,0
80852,0
90888,0
70460,0
84916,0
17845,0
129315,0
61248,0
59286,0
55726,0
55950,0
58423,0
19157,0
42296,0
104925,0
74049,0
49455,0
78753,0
7219,0
76044,0
135123,0
119943,0
18610,0
44799,0
83256,0
20162,0
27031,0
110652,0
62094,0
83421,0
70921,0
33306,0
92879,0
14471,0
77245,0
90354,0
122676,0
60319,0
23795,0
125146,0
61133,0
46312,0
63594,0
66197,0
110761,0
96261,0
128776,0
1384,0
78352,0
10649,0
90169,0
19335,0
11350,0
1836,0
111210,0
123761,0
10606,0
110213,0
26374,0
119024,0
11156,0
77844,0
39375,0
97832,0
28778,0
115985,0
81840,0
92150,0
44471,0
105855,0
92710,0
124515,0
84564,0
129544,0
8828,0
119006,0
45058,0
27593,0
132682,0
18996,0
60823,0
1711,0
51436,0
23546,0
42303,0
54365,0
67006,0
101989,0
922,0
73771,0
129523,0
5814,0
24705,0
923,0
33519,0
112233,0
74333,0
72157,0
132322,0
86970,0
120201,0
125666,0
38244,0
95198,0
19543,0
62698,0
6214,0
73383,0
129602,0
42101,0
78358,0
99569,0
104800,0
20623,0
58685,0
440,0
36994,0
90706,0
55360,0
87020,0
94745,0
121186,0
41476,0
99253,0
127914,0
13173,0
1876,0
12946,0
80874,0
67637,0
69155,0
111882,0
39288,0
44628,0
5702,0
17943,0
114225,0
80865,0
104343,0
116069,0
21342,0
128257,0
91652,0
76332,0
27966,0
887,0
126563,0
67351,0
100765,0
5975,0
4490,0
7740,0
118385,0
44579,0
46089,0
78809,0
67092,0
701,0
103606,0
56913,0
20464,0
77612,0
114202,0
55988,0
112358,0
24206,0
52231,0
107978,0
1227,0
101292,0
112848,0
89212,0
75701,0
89667,0
110131,0
12457,0
13131,0
33570,0
31403,0
121010,0
100054,0
131131,0
108227,0
98635,0
101408,0
53449,0
78085,0
110854,0
83779,0
94492,0
71037,0
32077,0
95052,0
87278,0
87283,0
26680,0
124236,0
122505,0
43639,0
10054,0
120435,0
103754,0
133584,0
24055,0
103173,0
27313,0
39438,0
50594,0
3273,0
26826,0
75782,0
23035,0
57157,0
63219,0
131690,0
28533,0
84884,0
100189,0
109909,0
46030,0
62508,0
119117,0
53749,0
27444,0
72253,0
105436,0
127001,0
97610,0
2454,0
8450,0
44320,0
123014,0
20193,0
135104,0
73180,0
117080,0
51611,0
104040,0
45171,0
101033,0
62760,0
78969,0
69269,0
54926,0
51757,0
72981,0
57756,0
92739,0
96212,0
8959,0
67997,0
75788,0
16096,0
65070,0
86629,0
130046,0
554,0
1775,0
101711,0
114426,0
87277,0
35942,0
73521,0
14285,0
84164,0
1002,0
44666,0
133266,0
60790,0
96975,0
86628,0
25885,0
105394,0
68852,0
96626,0
41548,0
81417,0
78696,0
13402,0
37274,0
44581,0
70486,0
51259,0
112176,0
123836,0
