ID,MedalValue
109,0
117,0
166,0
243,0
247,0
274,0
554,0
556,0
824,0
887,0
887,0
1117,0
1227,0
1326,0
1326,0
1702,0
1707,0
1734,0
1789,0
1839,0
1866,0
1871,0
1913,0
1930,0
1994,0
2032,0
2090,0
2127,0
2131,0
2196,0
2200,0
2281,0
2352,0
2680,0
2698,0
2775,0
2896,0
2922,0
2943,0
3316,0
3392,0
3417,0
3550,0
3716,0
3858,0
4032,0
4058,0
4067,0
4172,0
4179,0
4247,0
4386,0
4430,0
4550,0
4630,0
4660,0
4681,0
4711,0
4997,0
5082,0
5159,0
5442,0
5482,0
5540,0
5561,0
5583,0
5592,0
5697,0
5717,0
5760,0
6025,0
6165,0
6190,0
6336,0
6523,0
6657,0
6660,0
6662,0
6688,0
6737,0
6945,0
7005,0
7306,0
7519,0
7565,0
7660,0
7935,0
7965,0
8048,0
8049,0
8134,0
8152,0
8162,0
8243,0
8526,0
8526,0
8603,0
8647,0
8971,0
9416,0
9559,0
9917,0
9920,0
10018,0
10153,0
10184,0
10188,0
10634,0
10681,0
10742,0
10798,0
11153,0
11208,0
11378,0
11433,0
11468,0
11611,0
11631,0
12167,0
12221,0
12221,0
12351,0
12351,0
12398,0
12455,0
12457,0
12837,0
12861,0
12960,0
12994,0
13058,0
13162,0
13162,0
13173,0
13463,0
13542,0
14020,0
14024,0
14054,0
14072,0
14077,0
14285,0
14341,0
14464,0
14489,0
14532,0
14553,0
14625,0
14940,0
15495,0
15543,0
15571,0
15580,0
15609,0
15669,0
15688,0
15975,0
16028,0
16052,0
16086,0
16096,0
16209,0
16237,0
16373,0
16543,0
16683,0
16964,0
17033,0
17256,0
17285,0
17548,0
17560,0
17660,0
17976,0
18020,0
18058,0
18294,0
18692,0
18695,0
18695,0
18835,0
18890,0
18961,0
18988,0
19437,0
19635,0
19770,0
19888,0
19944,0
19944,0
20016,0
20157,0
20243,0
20365,0
20381,0
20456,0
20791,0
20811,0
20812,0
21406,0
21414,0
21770,0
22227,0
22377,0
22413,0
22468,0
22676,0
22683,0
22737,0
23025,0
23035,0
23084,0
23236,0
24476,0
24713,0
24738,0
24751,0
24787,0
24949,0
24969,0
25004,0
25113,0
25173,0
25635,0
25785,0
25812,0
26019,0
26028,0
26307,0
26375,0
26391,0
26396,0
26822,0
26826,0
27029,0
27029,0
27232,0
27634,0
28053,0
28053,0
28291,0
28303,0
28359,0
28750,0
28753,0
28860,0
28880,0
29133,0
29144,0
29207,0
29335,0
29336,0
29542,0
29604,0
29664,0
29750,0
29946,0
30167,0
30327,0
30629,0
30644,0
30730,0
30803,0
30829,0
31080,0
31097,0
31468,0
31527,0
31529,0
31552,0
31578,0
31629,0
31678,0
31678,0
31940,0
32033,0
32077,0
32182,0
32267,0
32515,0
32571,0
32744,0
32862,0
32872,0
33100,0
33168,0
33215,0
33422,0
33519,0
34124,0
34250,0
34336,0
34345,0
34456,0
34650,0
34835,0
34976,0
34976,0
35084,0
35310,0
35332,0
35983,0
36015,0
36176,0
36332,0
36656,0
36850,0
36879,0
36898,0
36902,0
37175,0
37235,0
37517,0
37578,0
37904,0
37968,0
38273,0
38493,0
38507,0
38535,0
38612,0
39191,0
39212,0
39285,0
39780,0
40056,0
40207,0
40213,0
40447,0
40521,0
40609,0
40702,0
40969,0
40969,0
41300,0
41319,0
41333,0
41476,0
41546,0
41720,0
41808,0
41811,0
42036,0
42052,0
42101,0
42101,0
42157,0
42273,0
42587,0
42610,0
42671,0
42969,0
42993,0
43147,0
43639,0
43793,0
43959,0
44076,0
44696,0
45327,0
45498,0
45563,0
45611,0
45942,0
45967,0
46030,0
46166,0
46191,0
46274,0
46315,0
46397,0
46483,0
46957,0
46957,0
47056,0
47103,0
47284,0
47289,0
47389,0
47488,0
47584,0
47661,0
47987,0
48010,0
48115,0
48134,0
48151,0
48156,0
48333,0
48429,0
48592,0
48651,0
48652,0
48683,0
48882,0
48896,0
49081,0
49228,0
49274,0
49448,0
49616,0
49660,0
49751,0
49818,0
50076,0
50146,0
50150,0
50272,0
51280,0
51441,0
51723,0
51807,0
51966,0
52044,0
52431,0
52490,0
52584,0
52592,0
52678,0
52810,0
53124,0
53190,0
53449,0
53599,0
53674,0
53852,0
53854,0
54009,0
54273,0
54311,0
54646,0
54694,0
55316,0
55360,0
55414,0
55569,0
55641,0
55644,0
55726,0
55798,0
55905,0
55950,0
55950,0
56529,0
56572,0
56710,0
56835,0
56840,0
57008,0
57138,0
57382,0
57420,0
57471,0
57492,0
57577,0
57756,0
57759,0
57761,0
57772,0
57829,0
57829,0
57912,0
58025,0
58227,0
58298,0
58438,0
58438,0
58438,0
58472,0
58561,0
58614,0
59065,0
59068,0
59118,0
59157,0
59168,0
59524,0
59581,0
59673,0
60083,0
60311,0
60466,0
60546,0
60582,0
60611,0
60617,0
60686,0
60917,0
60942,0
60950,0
61133,0
61366,0
61397,0
62078,0
62118,0
62669,0
62740,0
62792,0
62799,0
62932,0
63239,0
63279,0
63282,0
63428,0
63502,0
63678,0
63758,0
63938,0
64170,0
64466,0
64561,0
64638,0
64688,0
64915,0
64926,0
64943,0
64974,0
65070,0
65120,0
65268,0
65617,0
65729,0
65855,0
66002,0
66010,0
66358,0
66499,0
66590,0
66612,0
66626,0
66791,0
67006,0
67043,0
67133,0
67205,0
67312,0
67351,0
67633,0
67637,0
67787,0
67868,0
67941,0
68028,0
68072,0
68287,0
68787,0
68882,0
69183,0
69450,0
69462,0
69519,0
69595,0
69693,0
69782,0
69847,0
70205,0
70249,0
70249,0
70332,0
70486,0
70532,0
70664,0
70841,0
70846,0
70866,0
71451,0
71629,0
71678,0
71688,0
71734,0
72253,0
72787,0
72801,0
72862,0
72907,0
73134,0
73180,0
73313,0
73343,0
73412,0
73555,0
73605,0
73623,0
73691,0
73771,0
74003,0
74049,0
74060,0
74070,0
74078,0
74229,0
74237,0
74254,0
74289,0
74333,0
74387,0
74565,0
74589,0
74651,0
74750,0
74903,0
74971,0
75019,0
75027,0
75031,0
75133,0
75162,0
75176,0
75371,0
75387,0
75399,0
75844,0
76125,0
76126,0
76499,0
76655,0
76885,0
77050,0
77107,0
77188,0
77301,0
77612,0
77657,0
77964,0
78152,0
78155,0
78227,0
78235,0
78242,0
78294,0
78324,0
78324,0
78330,0
78657,0
78718,0
78944,0
78951,0
79131,0
79335,0
79554,0
79625,0
79781,0
80061,0
80128,0
80342,0
80428,0
80791,0
80803,0
80852,0
80906,0
81052,0
81061,0
81141,0
81275,0
81955,0
81955,0
81955,0
81957,0
82131,0
82312,0
82354,0
82469,0
82652,0
82783,0
82783,0
82835,0
82976,0
83217,0
83256,0
83404,0
83503,0
83507,0
83520,0
83686,0
83696,0
83721,0
83725,0
83745,0
83897,0
84019,0
84116,0
84141,0
84164,0
84221,0
84240,0
84301,0
84334,0
84386,0
84547,0
84771,0
84885,0
84893,0
84895,0
84912,0
84918,0
84933,0
84934,0
85060,0
85196,0
85196,0
85264,0
85357,0
85717,0
85774,0
85975,0
85975,0
86113,0
86231,0
86472,0
86628,0
87268,0
87400,0
87455,0
87459,0
87487,0
87667,0
87674,0
87787,0
88032,0
88483,0
88489,0
88508,0
88585,0
88843,0
89025,0
89091,0
89091,0
89140,0
89174,0
89199,0
89301,0
89590,0
89667,0
89693,0
89723,0
89729,0
89798,0
90005,0
90035,0
90035,0
90114,0
90243,0
90244,0
90247,0
90296,0
90366,0
90366,0
90619,0
90619,0
90889,0
91031,0
91227,0
91255,0
91375,0
91464,0
91526,0
91756,0
91815,0
92148,0
92148,0
92970,0
93054,0
93140,0
93182,0
93395,0
93408,0
93547,0
93768,0
93827,0
93827,0
94013,0
94104,0
94278,0
94423,0
94430,0
94469,0
94745,0
94941,0
94974,0
95052,0
95130,0
95232,0
95304,0
95431,0
95501,0
95663,0
95663,0
95694,0
96008,0
96184,0
96261,0
96440,0
96441,0
96443,0
96541,0
96628,0
96705,0
96802,0
96975,0
97128,0
97191,0
97229,0
97480,0
97661,0
97742,0
97825,0
97993,0
98045,0
98143,0
98350,0
98432,0
98459,0
98559,0
99086,0
99153,0
99443,0
99519,0
99692,0
99735,0
99767,0
99806,0
100388,0
100388,0
100480,0
100658,0
100658,0
100963,0
101035,0
101124,0
101187,0
101235,0
101290,0
101292,0
101323,0
101413,0
101421,0
101455,0
101694,0
101827,0
101934,0
101954,0
102237,0
102332,0
102439,0
102501,0
102889,0
102947,0
102972,0
103116,0
103288,0
103536,0
103570,0
103693,0
103759,0
103820,0
103895,0
103999,0
104036,0
104040,0
104058,0
104200,0
104222,0
104231,0
104360,0
104449,0
104501,0
104514,0
104547,0
104619,0
104858,0
104880,0
105359,0
105379,0
105393,0
105508,0
105723,0
105753,0
105842,0
105846,0
105943,0
105954,0
105973,0
106120,0
106184,0
106237,0
106246,0
106265,0
106298,0
106341,0
106355,0
106741,0
106992,0
107552,0
107602,0
107655,0
107665,0
107787,0
108076,0
108084,0
108147,0
108182,0
108328,0
108503,0
108509,0
108569,0
108726,0
108776,0
108957,0
109112,0
109331,0
109486,0
109513,0
109930,0
109983,0
110138,0
110177,0
110177,0
110212,0
110216,0
110439,0
110473,0
110493,0
110527,0
110545,0
110584,0
110598,0
110601,0
110758,0
110846,0
110854,0
110913,0
111293,0
111311,0
111437,0
111802,0
111846,0
111853,0
111982,0
112207,0
112277,0
112353,0
112358,0
112548,0
112699,0
112750,0
112820,0
112820,0
112828,0
112845,0
112971,0
113015,0
113205,0
113248,0
113255,0
113390,0
113753,0
113758,0
113786,0
113849,0
114080,0
114426,0
114426,0
114470,0
114588,0
114717,0
114815,0
114821,0
114865,0
115089,0
115089,0
115159,0
115381,0
115457,0
115457,0
115509,0
115644,0
116179,0
116188,0
116191,0
116212,0
116295,0
116318,0
116641,0
116724,0
116931,0
116983,0
117041,0
117087,0
117176,0
117180,0
117202,0
117385,0
117545,0
117819,0
117941,0
117983,0
118172,0
118187,0
118220,0
118220,0
118413,0
118816,0
118955,0
119029,0
119076,0
119102,0
119106,0
119759,0
119923,0
120019,0
120170,0
120187,0
120193,0
120621,0
120701,0
120750,0
120796,0
120876,0
120962,0
121115,0
121144,0
121317,0
121395,0
121495,0
121629,0
121719,0
121740,0
121800,0
122084,0
122352,0
122719,0
122771,0
122958,0
122980,0
123079,0
123086,0
123177,0
123347,0
123443,0
123447,0
123497,0
123650,0
123680,0
123709,0
123955,0
124028,0
124513,0
125202,0
125596,0
125730,0
125791,0
125908,0
125908,0
125909,0
125913,0
125916,0
125990,0
126097,0
126098,0
